string_id,string
forest_m2_1_s7,거기서 F키를 누르면 사용할 수 있어
forest_m2_1_a6,라토를 왜 그렇게 싫어하는 거야?
forest_m2_1_s8,나보다 나이도 많고 몸집도 크면서 손이 작아서 싫어. 옹졸해 보여.
forest_m2_1_a7,…. 그건 좀 너무한데
forest_m2_1_s9,라토 편드는 거야 지금?
forest_m2_1_a8,"에이, 그럴 리가...!! 역시 남매는 다 이런 가봐"
forest_m2_1_a9,그래도 너는 가족이 있어서 좋겠다. 나는 아무도 없거든
forest_m2_1_s10,어 음…. 큼큼 
forest_m2_1_s11,아 맞아 횃불! 그거 어떻게 쓰는 거냐면….
forest_m2_1_s12,왼쪽 길을 쭉 따라서 올라가다 보면 모닥불 자리가 있을 거야
forest_m2_1_s13,거기서 F키를 누르면 사용할 수 있어
forest_m2_1_a10,"그렇구나, 고마워 리체! 나는 가볼게"
forest_m2_1_s14,"잠시만 테라, 혹시 내 부탁 하나만 들어줄 수 있어?"
forest_m2_1_a11,아 그래! 어떤 부탁인데?
forest_m2_1_s15,"저기 왼쪽 위에 내가 인형을 두고 왔는데, 내가 가지러 가기엔 너무 높아서 말이야"
forest_m2_1_s16,대신 가져다줄 수 있을까?
forest_m2_1_a12,응 잠시만 기다려
forest_m2_1_s17,고마워 테라!
forest_m2_2_s1,아 테라 어쩐 일이야?
forest_m2_2_s2,내 인형 찾아와준 거야?
forest_m2_2_a1,곧 가져다 줄게!
forest_m2_2_s3,왼쪽 위로 올라가면 금방 찾을 수 있을 거야
forest_m2_2_s4,조심히 다녀와!
forest_m2_2_a2,"미안, 지금은 바빠서 인형을 못 찾을 것 같아."
forest_m2_2_s5,"포기하면 내가 준비한 보상을 받을 수 없는데, 괜찮겠어?"
forest_m2_2_a3,응 괜찮아
forest_m2_2_s6,"그러면 어쩔 수 없지, 잘 가 테라!"
forest_m2_2_a4,"앗, 아니야 다시 찾아다 줄게"
forest_m2_2_s7,"응, 고마워!"
forest_m2_3_s1,"와 테라, 정말 내 인형을 찾아와줬구나!"
forest_m2_3_s2,너무너무 고마워!!
forest_m2_3_s3,이건 내가 준비한 선물이야! 잘 사용해줘!
c_quest_1_1_s1,"휴, 겨우 종이를 다 모았어. 라토에게 돌아가 전해주자."
c_quest_2_1_s1,찾았어! 이런 곳에 떨어트렸다니... 리체에게 돌아가 전해주자.
c_quest_3_1_s1,날개를 획득했다! 방향키로 움직이면 되려나… 어서 위로 올라가 보자!
